name,city,state,type,established_year,nirf_ranking,naac_grade,courses_offered,faculty_count,student_faculty_ratio,avg_annual_fee,hostel_fee,scholarship_available,placement_rate,avg_package_lpa,highest_package_lpa,companies_visiting,campus_area_acres,has_library,has_hostel,has_sports,has_wifi,has_lab,has_hospital,acceptance_rate,entrance_exams_accepted,total_intake
Acharya Academy of Engineering Korba,Korba,Chhattisgarh,Deemed,1885,72,B+,213,1305,3.9,596883,57260,True,73.7,7.19,43.46,434,1160.6,True,False,False,False,False,False,5.0,JEE Main,5026
Autonomous College of Law Cuttack,Cuttack,Odisha,Autonomous,1942,121,A,104,699,6.5,199311,25337,True,65.6,8.73,48.86,619,1255.0,False,False,True,False,False,False,81.3,JEE Advanced,4556
Tezpur University,Tezpur,Assam,Government,1994,291,A,6,658,0.8,7271,94575,True,50.9,4.07,28.36,317,2461.0,True,True,True,True,True,True,19.0,CUET,500
District Medical Sciences College Pilani,Pilani,Rajasthan,Government,1985,59,A+,147,959,0.5,40416,109948,True,82.3,11.74,31.58,32,115.1,True,True,True,True,True,True,62.1,GATE,499
Deemed Institute of Fashion Design Nizamabad,Nizamabad,Telangana,Deemed,1900,65,,195,560,7.9,1457172,140590,False,82.4,16.77,113.53,306,1543.5,False,True,False,True,True,True,61.4,WBJEE,4440
Radhakrishnan Academy of Pharmacy Jamshedpur,Jamshedpur,Jharkhand,Deemed,1964,91,,244,1339,2.4,,55288,True,87.4,18.24,95.93,686,,True,True,False,True,True,False,64.1,VITEEE,3212
State Institute of Agriculture Silchar,Silchar,Assam,Government,1996,496,B++,113,293,24.0,6974,178897,True,,3.66,14.57,446,,True,False,False,True,True,True,71.2,CAT,7018
Prime College of Fine Arts Shillong,Shillong,Meghalaya,Private,1874,127,,86,1458,2.3,353833,49078,False,61.5,5.81,38.83,192,203.6,True,False,True,True,False,True,22.8,SRMJEEE,3336
Sri Sapru Institute of Nursing Haldwani,Haldwani,Uttarakhand,Private,1986,495,B+,103,215,13.9,361530,54863,True,29.9,3.3,8.6,32,58.0,True,True,True,True,True,False,12.8,MHT CET,2984
Haridwar Information Technology Autonomous College,Haridwar,Uttarakhand,Autonomous,1947,145,A+,130,1489,2.8,164468,68878,False,71.2,8.44,54.52,318,2081.5,True,True,True,True,False,True,63.1,NATA,4186
Prime College of Applied Sciences Aizawl,Aizawl,Mizoram,Private,1924,,B+,86,1410,4.4,109293,138197,False,49.9,3.2,13.11,396,,False,True,False,False,False,False,1.3,AP EAMCET,6252
Bose Deemed University Aizawl,Aizawl,Mizoram,Deemed,1964,203,A,211,375,2.1,531604,136449,True,70.8,6.2,26.12,444,1822.1,False,False,True,True,True,False,35.8,COMEDK,777
Karaikal Government Engineering College,Karaikal,Puducherry,Government,1876,233,B,210,119,33.3,69423,47629,True,65.4,5.46,35.76,228,2048.5,False,True,False,False,True,True,14.6,WBJEE,3957
Excel Institute of Dental Sciences Siliguri,Siliguri,West Bengal,Private,1904,11,B,117,877,1.9,2072687,67901,True,94.6,13.84,95.7,651,,True,True,False,True,False,False,10.2,CLAT,1706
Government Management College Madurai,Madurai,Tamil Nadu,Government,1986,95,B++,59,465,10.9,30476,63052,True,76.2,9.18,22.89,320,912.3,True,True,True,True,True,True,75.8,Own Entrance,5066
Government Polytechnic Ranchi,Ranchi,Jharkhand,Government,2003,32,B+,11,306,3.6,,36409,False,98.4,26.37,163.11,493,2052.2,False,True,True,False,True,True,76.7,CAT,1090
Swami College of Nursing and Research Pune,Pune,Maharashtra,Private,1982,132,A,232,345,7.1,422736,97836,True,68.4,4.56,22.59,632,24.7,False,False,False,True,False,False,57.5,MHT CET,2463
Bihar State Physical Education College Bhagalpur,Bhagalpur,Bihar,Government,1925,140,A,91,645,3.3,33698,142949,True,67.6,14.07,93.96,233,162.9,True,False,False,False,False,False,25.9,NEET UG,2128
State Institute of Technology Asansol,Asansol,West Bengal,Government,2007,39,B,91,,,149707,126770,False,92.3,28.1,193.91,446,1199.0,False,False,False,True,False,False,43.8,GATE,804
State Institute of Technology Jamshedpur,Jamshedpur,Jharkhand,Govt,1908,242,,105,904,7.3,,62826,True,,10.59,71.18,356,454.6,False,False,True,False,True,False,64.1,COMEDK,6563
State Institute of Pharmacy Margao,Margao,Goa,Government,1870,,B+,182,1171,3.2,25761,113541,True,38.9,,,179,733.2,False,False,True,False,False,False,64.7,MHT CET,3788
Khammam College of Applied Sciences,Khammam,Telangana,Private,1929,,B+,76,179,40.0,1546294,44671,False,88.2,13.39,46.57,600,909.6,True,True,True,True,False,True,8.5,COMEDK,7166
National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,Government,1986,,A,228,245,2.0,37461,29704,True,34.4,5.86,21.45,460,251.1,False,True,True,False,False,False,77.5,JEE Main,500
Devi Ahilya College of Veterinary Science and Research Dharamsala,Dharamsala,Himachal Pradesh,Private,1940,,B++,113,268,27.1,372199,73766,True,40.8,2.59,8.1,577,466.1,False,False,False,False,False,True,32.6,COMEDK,7252
Aryabhatta Deemed University Nizamabad,Nizamabad,Telangana,Deemed,1997,64,B++,127,1150,4.5,907926,62389,True,88.4,16.03,75.93,566,434.7,True,False,True,True,True,True,27.5,SRMJEEE,5170
Patna University,Patna,Bihar,Government,1917,178,A,234,1139,1.8,36096,29321,True,52.6,,,353,1157.3,True,True,True,True,False,True,69.4,Own Entrance,2000
Agartala College of Technology,Agartala,Tripura,Private,1998,67,A+,20,1233,6.0,746843,117012,True,88.9,28.05,74.11,211,1237.8,True,True,True,True,True,False,28.0,TNEA,7412
Autonomous College of Dental Sciences Dimapur,Dimapur,Nagaland,Autonomous,1969,187,A++,14,617,1.9,54789,42426,True,55.8,8.78,28.8,665,2077.1,False,False,True,False,True,False,53.2,JEE Advanced,1164
State Institute of Engineering Hyderabad,Hyderabad,Telangana,Government,2009,,,183,1238,2.3,32882,112215,True,79.0,12.0,54.41,581,256.0,True,True,True,True,True,True,13.0,CUET,2799
University of Rajasthan,Jaipur,Rajasthan,Government,1947,67,A+,59,1345,1.9,42175,128693,True,74.5,8.34,40.05,21,1602.3,True,True,False,True,False,False,59.0,Own Entrance,2500
Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,Government,1919,185,A++,20,1150,0.9,78788,60579,True,69.4,7.18,16.46,331,144.8,True,True,True,False,False,False,50.1,JEE Advanced,1050
Global Academy of Homeopathy Shillong,Shillong,Meghalaya,Private,1930,269,A,8,1431,2.3,168148,133316,True,,4.79,23.91,660,92.7,True,True,True,True,True,False,43.6,BITSAT,3358
Bikaner College of Medical Sciences,Bikaner,Rajasthan,Private,1874,,,201,1132,1.4,1585029,102482,True,95.9,14.35,54.48,184,,True,False,True,True,False,False,20.8,CUET,1622
Government College of Architecture Nashik,Nashik,Maharashtra,Government,1953,,B,82,513,15.3,232919,86859,True,85.3,,,682,1163.1,False,False,False,True,False,False,3.9,NEET UG,7859
Mahatma Gandhi Deemed University Shillong,Shillong,Meghalaya,Deemed,1952,218,B+,234,430,6.0,231316,116385,True,44.1,,,136,2200.5,True,True,False,True,True,True,64.9,AP EAMCET,2563
Goa State Applied Sciences College Mapusa,Mapusa,Goa,Government,1906,194,B,114,160,41.1,92672,93625,True,70.6,9.88,44.0,223,1006.8,False,True,True,True,True,True,47.9,State Level,6578
Radhakrishnan Deemed University Ujjain,Ujjain,Madhya Pradesh,Deemed,1889,444,,7,314,17.3,149388,60596,True,35.4,5.87,26.28,352,2129.2,False,True,True,False,True,True,25.9,CAT,5439
Aryabhata College of Physical Education and Research Tezpur,Tezpur,Assam,Private,1960,213,B++,110,1249,4.1,303655,70455,True,52.2,3.02,8.1,602,720.6,True,True,True,True,True,True,21.9,GATE,5083
SNDT Womens University,Mumbai,Maharashtra,Government,1916,69,A+,150,931,1.1,59658,74588,True,83.7,10.91,64.6,360,1362.2,True,True,True,True,True,True,20.8,Own Entrance,1000
Ramanujan College of Fashion Design and Research Khammam,Khammam,Telangana,Private,2011,5,B,30,317,4.3,603217,134094,True,82.8,17.64,105.16,53,101.1,False,False,True,False,True,False,39.4,SRMJEEE,1374
Autonomous College of Technology Chandigarh,Chandigarh,Punjab,Autonomous,1943,19,B,172,156,34.7,493021,162493,True,79.9,12.35,25.43,342,2326.2,False,False,True,True,True,False,50.5,JEE Main,5406
Margao Government Arts College,Margao,Goa,Government,1910,,B+,98,799,0.1,43509,149837,True,31.4,2.76,14.03,112,583.1,True,True,True,True,True,True,3.0,TS EAMCET,118
Autonomous College of Homeopathy Agartala,Agartala,Tripura,Autonomous,1929,348,,205,1089,2.3,94748,147874,True,27.2,1.91,11.53,551,756.4,False,False,True,False,False,False,39.6,JEE Advanced,2487
Kumaun University,Nainital,Uttarakhand,Government,1973,157,B++,126,1046,0.4,44630,142883,True,54.9,3.5,21.91,150,411.1,False,True,False,False,True,True,20.0,CUET,400
Aizawl College of Physical Education,Aizawl,Mizoram,private,1885,,B,134,754,1.0,1487979,56979,True,94.8,22.69,51.36,177,226.1,True,False,False,True,True,False,68.3,TNEA,720
Sikar Institute of Fine Arts (Deemed),Sikar,Rajasthan,Deemed,1973,87,A+,211,853,1.5,856223,122124,True,88.9,15.1,104.18,383,1510.5,True,True,True,True,True,True,46.3,CUET,1262
Academy of Law Ajmer,Ajmer,Rajasthan,Deemed,2011,126,,222,1305,2.5,309813,155142,False,73.1,3.73,16.1,509,145.6,True,True,True,False,False,False,1.5,UPSEE,3284
Srinivasa Autonomous Institute Ghaziabad,Ghaziabad,Uttar Pradesh,Autonomous,2019,235,B++,60,877,7.8,107902,100806,True,45.5,4.78,25.39,350,1345.8,True,True,True,True,True,True,72.6,CLAT,6874
Hyderabad Institute of Computer Science (Deemed),Hyderabad,Telangana,Deemed,1893,74,B+,51,1208,5.6,445303,173531,True,55.9,9.99,20.19,436,2301.2,True,True,False,True,False,False,21.7,SRMJEEE,6798
Global Academy of Veterinary Science Jammu,Jammu,Jammu & Kashmir,Private,1941,28,A,99,,,1575568,47115,True,82.0,25.53,83.36,459,447.3,True,True,True,True,True,True,10.5,SRMJEEE,2533
Government Law College Bardhaman,Bardhaman,West Bengal,Government,1939,,A,91,768,9.2,96015,78107,False,87.8,13.99,56.93,532,57.4,True,False,True,False,True,False,65.1,AP EAMCET,7071
Kamla Nehru Foundation Commerce College Korba,Korba,Chhattisgarh,Private,1851,,B++,139,991,2.5,1841247,114210,True,97.2,21.13,46.58,256,75.0,True,True,False,True,False,True,78.8,TS EAMCET,2429
Global Academy of Journalism Anantnag,Anantnag,Jammu & Kashmir,Private,2004,111,A,60,1125,0.3,442606,148012,False,68.8,4.24,12.62,441,209.7,True,True,True,True,True,True,67.2,GATE,360
Government Model College Nagpur,Nagpur,Maharashtra,Government,2015,,B,180,1430,0.3,173524,66549,True,85.5,18.7,116.27,375,1665.8,True,True,False,False,False,True,8.4,CAT,480
Prime College of Veterinary Science Ghaziabad,Ghaziabad,Uttar Pradesh,Private,1874,89,,216,1127,4.6,2054891,140515,True,81.3,27.26,182.18,89,1031.8,False,True,False,False,False,True,70.5,WBJEE,5220
Silchar Government Physical Education College,Silchar,Assam,Government,1894,178,B+,203,498,14.2,37397,149966,True,59.9,2.85,13.67,84,1788.3,True,False,False,True,True,False,7.4,TS EAMCET,7095
Naharlagun Government Applied Sciences College,Naharlagun,Arunachal Pradesh,Government,1909,95,A+,139,734,2.8,94547,162519,True,85.3,7.41,35.28,560,235.7,False,False,False,False,True,False,22.9,CAT,2030
Kamla Nehru Autonomous Institute Rohtak,Rohtak,Haryana,Autonomous,1932,59,A,192,679,6.8,330147,23612,True,,8.48,21.95,547,547.4,True,False,False,True,True,True,34.3,MHT CET,4620
Autonomous College of Dental Sciences Visakhapatnam,Visakhapatnam,Andhra Pradesh,Autonomous,1917,68,A,238,335,8.0,113542,106922,True,70.6,11.65,66.11,427,118.2,True,True,True,False,True,False,32.7,Own Entrance,2690
Patna Autonomous College of Law,Patna,Bihar,Autonomous,1871,76,B++,233,347,14.4,96679,132362,True,60.9,6.6,35.62,693,1718.5,True,True,True,True,False,False,53.5,JEE Advanced,5012
Government Model College Kochi,Kochi,Kerala,Govt,1903,273,B+,208,108,47.7,8813,28472,True,52.5,2.19,13.7,428,932.8,True,True,True,True,True,True,31.0,JEE Advanced,5155
Shillong Government Agriculture College,Shillong,Meghalaya,Government,1960,,B++,26,853,4.3,38743,22934,True,49.9,4.75,20.13,414,2473.8,True,True,True,True,True,True,28.3,TS EAMCET,3696
Galgotias Foundation Pharmacy College Aizawl,Aizawl,Mizoram,Private,1988,281,B++,33,277,1.9,157627,36855,False,36.3,2.51,16.33,544,1900.1,True,True,True,True,True,True,53.1,BITSAT,522
Uttar Pradesh State Dental Sciences College Kanpur,Kanpur,Uttar Pradesh,Government,1890,207,B+,85,917,2.9,,120689,False,60.0,4.77,11.94,414,975.6,True,True,True,False,False,False,39.4,TS EAMCET,2662
Aizawl College of Fashion Design,Aizawl,Mizoram,Private,1938,,B+,75,1106,4.3,1902266,89595,True,83.5,17.02,98.45,50,2368.9,False,False,False,True,False,True,32.8,JEE Main,4735
Global Academy of Engineering Chandigarh,Chandigarh,Chandigarh,Private,1944,,B+,113,696,6.9,610997,67166,True,78.5,7.75,49.63,160,1632.1,True,True,True,True,True,True,61.6,JEE Main,4783
Aurangabad Government Social Work College,Aurangabad,Maharashtra,Government,2020,,B+,185,401,7.9,99888,27782,True,79.5,11.16,32.83,516,477.8,True,True,True,True,True,True,65.4,WBJEE,3176
Sri Shivaji Institute of Journalism Kakinada,Kakinada,Andhra Pradesh,Private,1980,266,B++,240,794,10.0,209249,29894,True,29.5,4.9,17.92,687,762.1,False,True,False,True,False,False,14.7,AP EAMCET,7938
Deemed Institute of Engineering Kozhikode,Kozhikode,Kerala,Deemed,1947,159,A,92,1050,3.5,416688,174161,False,57.8,8.52,26.93,59,1411.2,True,False,True,False,True,False,76.4,TNEA,3652
Kanpur Autonomous College of Technology,Kanpur,Uttar Pradesh,Autonomous,1983,182,B++,155,104,25.6,121820,105873,True,39.0,2.12,6.19,233,2310.1,False,False,False,False,False,True,51.0,NATA,2660
Global Academy of Pharmacy Durg,Durg,Chhattisgarh,Private,2014,,B++,13,1383,5.6,389470,174054,False,35.0,4.48,29.02,382,393.0,False,False,False,True,False,False,17.1,University Entrance,7781
Government Management College Kalyani,Kalyani,West Bengal,Government,2001,,A++,191,141,45.0,216517,110571,False,94.5,23.3,56.15,170,1225.8,True,True,True,True,True,True,66.4,MHT CET,6345
Karaikal Autonomous College of Nursing,Karaikal,Puducherry,Autonomous,1977,,B++,193,704,8.9,91167,171548,True,48.4,3.79,19.64,350,1089.6,True,True,False,False,False,False,22.7,TNEA,6248
Chandigarh Government Commerce College,Chandigarh,Punjab,Government,1918,158,B+,146,907,5.4,7596,38971,True,61.5,2.84,11.9,236,2228.0,False,True,False,False,False,True,42.0,Own Entrance,4880
Shivaji College of Hotel Management and Research Silchar,Silchar,Assam,Private,1998,,A,125,1081,6.0,861050,39174,True,96.0,27.24,174.7,15,1716.8,True,False,True,False,True,False,81.7,TNEA,6516
Patiala College of Information Technology,Patiala,Punjab,Private,1988,52,B,107,405,7.4,797209,170712,True,74.6,11.64,49.91,243,252.3,True,False,True,True,True,False,29.1,State Level,2999
Modern Institute of Architecture Karimnagar,Karimnagar,Telangana,Private,1989,,A++,81,1107,5.7,601650,179861,True,67.2,5.51,20.16,218,641.1,True,True,True,True,True,True,14.5,UPSEE,6313
Bhabha University Jammu,Jammu,Jammu & Kashmir,Private,2001,44,A+,202,963,8.1,780876,89121,True,82.3,27.7,123.62,195,,False,True,True,False,False,False,22.2,NATA,7770
Global Academy of Arts Tezpur,Tezpur,Assam,Private,1936,,A+,115,670,2.2,519724,155864,True,58.2,6.79,20.67,659,131.5,True,True,True,False,True,True,32.7,CUET,1489
Sri Tagore Institute of Management Chandigarh,Chandigarh,Chandigarh,private,1926,52,B,239,1136,0.8,204632,162702,True,67.6,5.52,36.3,587,,True,True,True,True,True,True,11.5,TS EAMCET,932
Savitribai Phule Pune University,Pune,Maharashtra,Government,1949,64,A++,119,1085,3.2,72912,50471,True,80.6,12.17,54.09,66,1134.7,True,True,False,True,False,False,44.1,Own Entrance,3500
Babasaheb Autonomous Institute Hamirpur,Hamirpur,Himachal Pradesh,Autonomous,1945,394,B+,20,1284,4.1,33512,157752,True,24.5,3.54,7.41,493,378.6,False,True,True,False,False,False,3.3,Own Entrance,5293
Modern Institute of Dental Sciences Mapusa,Mapusa,Goa,Private,2017,,B++,79,1396,0.5,364861,130723,True,56.1,4.4,17.26,277,1408.3,False,False,False,False,True,True,61.7,TNEA,687
Himachal Pradesh State Journalism College Hamirpur,Hamirpur,Himachal Pradesh,Government,1910,,B+,160,647,8.5,243449,90497,True,87.8,27.64,189.86,116,2129.2,True,True,True,True,False,True,14.0,BITSAT,5521
District Medical Sciences College Aizawl,Aizawl,Mizoram,Government,1912,150,B,245,514,13.9,16343,146084,True,40.6,5.82,14.14,567,593.6,True,False,False,False,True,True,81.2,Own Entrance,7164
Sikar Institute of Arts (Deemed),Sikar,Rajasthan,Deemed,1867,17,B++,216,336,20.5,1253759,87327,True,81.1,13.7,94.75,240,1899.4,False,True,True,False,False,False,25.6,VITEEE,6894
Modern Institute of Fashion Design Naharlagun,Naharlagun,Arunachal Pradesh,Private,1972,,B+,110,,,311421,67525,True,38.4,4.56,25.87,81,1010.6,True,True,False,False,True,True,20.5,VITEEE,609
Government College of Dental Sciences Dimapur,Dimapur,Nagaland,Government,1926,,A,23,905,2.5,125660,58394,True,94.7,21.58,83.64,414,138.9,True,True,True,True,True,True,34.9,CAT,2241
National Institute of Technology Surathkal,Mangalore,Karnataka,Government,1960,137,A+,41,44,20.5,68727,47644,True,83.0,15.0,55.42,327,1334.2,False,False,True,False,False,False,56.7,JEE Main,900
Laxmi Deemed University Naharlagun,Naharlagun,Arunachal Pradesh,Deemed,1941,234,A,113,275,8.7,101582,147678,True,33.0,5.73,38.08,75,1106.0,False,True,False,False,False,False,29.3,COMEDK,2381
Government Model College Mangalore,Mangalore,Karnataka,Government,1913,383,B++,22,1047,1.7,49249,66205,True,58.3,5.65,31.51,559,1035.8,False,True,True,True,True,False,55.5,JEE Advanced,1806
Autonomous College of Agriculture Shimoga,Shimoga,Karnataka,Autonomous,1851,,,31,1043,1.6,318042,74682,False,85.9,9.54,58.88,29,1707.9,False,True,True,True,True,True,44.6,COMEDK,1635
Thanjavur Government Ayurveda College,Thanjavur,Tamil Nadu,Government,1960,340,,210,1083,6.0,22001,26906,True,30.9,5.26,24.53,29,610.1,True,True,True,True,True,True,36.1,TNEA,6461
Chanakya College of Dental Sciences and Research Karaikal,Karaikal,Puducherry,Private,1900,314,A,40,,,258063,105149,True,30.6,3.8,19.74,342,1718.0,True,True,True,True,True,True,70.8,TNEA,743
Government Fashion Design College Sonipat,Sonipat,Haryana,Government,1857,73,A+,36,1413,5.4,51747,77770,True,81.5,11.66,78.79,691,341.1,True,True,True,True,True,True,45.9,CLAT,7670
Korba Institute of Ayurveda,Korba,Chhattisgarh,Private,1933,,B,216,801,4.0,270682,137795,True,46.9,4.28,22.81,481,,False,True,True,False,False,True,48.2,UPSEE,3214
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,Deemed,1998,,A++,66,231,2.6,580658,176719,True,65.4,3.78,14.09,489,2328.7,True,True,True,False,True,True,62.9,JEE Main,600
PES University,Bangalore,Karnataka,Private,1972,,A+,215,1395,1.8,625151,177117,False,81.2,9.1,58.17,300,2368.2,False,True,True,True,True,True,19.2,PESSAT,2500
Manipur State Hotel Management College Imphal,Imphal,Manipur,Government,2007,,B++,231,302,22.7,,74002,False,74.0,14.59,59.58,151,2108.7,False,False,False,False,True,False,2.9,Own Entrance,6855
Laxmi College of Veterinary Science and Research Karaikal,Karaikal,Puducherry,Private,1958,387,B+,46,640,11.0,107169,50041,True,40.8,2.95,13.53,337,405.2,True,False,False,False,True,True,73.1,NEET UG,7024
Government College of Dental Sciences Hamirpur,Hamirpur,Himachal Pradesh,Government,1889,308,A,215,1413,3.4,49119,140026,False,59.2,3.62,23.69,256,258.2,False,True,True,True,True,True,3.8,JEE Advanced,4824
Autonomous College of Applied Sciences Panaji,Panaji,Goa,Autonomous,1979,85,A,107,1154,6.9,464527,135711,True,72.0,17.08,54.25,468,977.5,True,False,False,True,False,True,17.5,BITSAT,7944
Phagwara Autonomous College of Social Work,Phagwara,Punjab,Autonomous,1902,,B+,193,198,4.3,310874,30631,True,90.2,14.93,67.59,512,110.0,False,False,False,True,False,False,31.5,COMEDK,844
District Engineering College Gangtok,Gangtok,Sikkim,Government,1985,110,B++,159,1233,0.5,,54691,True,77.5,13.89,83.71,604,2222.2,False,False,True,False,False,False,34.3,CAT,627
Srinivasa Deemed University Puducherry,Puducherry,Puducherry,deemed,1948,23,A++,102,1496,3.4,667900,29236,False,87.7,10.44,45.95,453,1458.5,False,False,False,False,True,True,79.7,TNEA,5110
Government College of Medical Sciences Baramulla,Baramulla,Jammu & Kashmir,Government,1932,333,A,129,915,4.6,17192,69762,True,34.1,2.84,14.45,534,542.0,False,True,False,False,True,True,70.1,CLAT,4214
Autonomous College of Information Technology Haldwani,Haldwani,Uttarakhand,Autonomous,1938,250,B+,164,,,188357,58498,True,66.0,5.68,17.19,643,1630.8,True,True,True,True,True,True,59.6,JEE Main,6834
Global Academy of Law Guwahati,Guwahati,Assam,Private,1921,112,B++,116,1465,1.3,663912,121531,True,70.9,11.58,57.8,150,1151.6,True,True,False,True,True,True,13.6,TNEA,1907
Lakshmi University Agartala,Agartala,Tripura,Private,1937,405,B+,135,1264,2.1,169851,131953,True,40.5,3.26,11.02,174,1256.4,True,True,False,True,True,True,38.5,AP EAMCET,2654
Pondicherry University,Puducherry,Puducherry,Government,1985,186,A++,47,253,3.2,90571,113837,True,80.5,12.03,49.75,194,1375.8,False,False,True,True,True,True,43.4,CUET,800
Bikaner College of Commerce,Bikaner,Rajasthan,Private,2023,360,B+,59,929,5.7,189356,97348,True,37.1,4.24,17.48,58,898.1,False,False,False,False,True,True,12.6,BITSAT,5303
Autonomous College of Science Aizawl,Aizawl,Mizoram,Autonomous,1856,,A++,203,82,18.8,226058,145183,True,56.7,,,551,1044.7,True,False,True,False,True,True,75.6,UPSEE,1538
Government College of Dental Sciences Chandigarh,Chandigarh,Chandigarh,Government,1865,,B++,204,90,80.7,46395,169043,True,86.8,7.17,50.13,603,20.3,False,True,False,False,True,False,71.7,BITSAT,7265
Excel Institute of Information Technology Gangtok,Gangtok,Sikkim,Private,1884,82,A+,100,982,1.2,2084885,73178,False,96.9,23.29,159.76,30,160.7,True,True,True,True,True,False,32.1,University Entrance,1173
Government College of Agriculture Kochi,Kochi,Kerala,Government,2009,230,A,220,388,0.4,6575,44795,True,35.6,3.89,10.13,48,1408.5,True,True,True,True,True,True,46.2,AP EAMCET,169
Maharashtra State Physical Education College Aurangabad,Aurangabad,Maharashtra,Government,1884,377,B+,89,623,1.2,47656,142872,True,46.3,5.13,29.97,395,725.5,False,True,False,False,False,False,62.6,NATA,738
District Homeopathy College Imphal,Imphal,Manipur,Government,2015,,B,224,1070,2.8,,126220,True,56.3,4.09,16.52,521,317.3,False,True,True,True,False,True,4.1,SRMJEEE,2959
Jai Prakash Institute of Management Panaji,Panaji,Goa,Private,1999,189,B++,247,341,9.4,379852,93858,True,48.5,,,263,1214.7,True,True,True,False,False,False,53.7,TNEA,3216
Odisha State Architecture College Bhubaneswar,Bhubaneswar,Odisha,Government,1863,288,B+,13,959,5.0,23468,51330,False,44.2,5.96,18.87,665,1617.6,True,True,True,True,True,True,9.1,JEE Main,4792
Presidency University Kolkata,Kolkata,West Bengal,Government,1817,191,A,100,900,0.6,16795,55501,True,56.8,5.91,30.91,401,1122.4,True,True,True,True,True,False,78.0,CUET,500
Autonomous College of Dental Sciences Chandigarh,Chandigarh,Chandigarh,Autonomous,1922,213,,34,782,2.0,42199,56025,True,47.9,3.73,23.34,107,2436.6,False,True,False,False,True,True,65.5,TNEA,1573
Punjab State Science College Jalandhar,Jalandhar,Punjab,Government,1998,,B,174,1132,4.6,5559,87524,True,60.5,4.93,26.79,532,2352.7,True,True,True,True,True,True,84.3,BITSAT,5220
Global Academy of Applied Sciences Hisar,Hisar,Haryana,Private,1897,90,B++,248,1211,3.6,1697049,69600,True,96.5,25.93,71.96,297,227.5,True,False,True,False,False,False,67.7,TS EAMCET,4373
Devi Ahilya University Dimapur,Dimapur,Nagaland,Private,2001,266,A,29,744,3.2,188155,124827,False,38.2,3.45,10.64,609,2411.3,False,True,True,True,True,True,44.9,MHT CET,2359
Rajendra Prasad Institute of Management Sonipat,Sonipat,Haryana,Private,2023,227,A,21,1372,0.9,119470,107345,True,45.2,4.64,16.63,566,2133.8,False,False,False,False,False,True,53.9,VITEEE,1173
Galgotias Academy of Journalism Dimapur,Dimapur,Nagaland,Deemed,1991,26,B,54,1353,1.9,1142278,77767,True,83.9,9.29,21.14,607,1317.0,False,True,False,False,False,False,66.6,CUET,2583
Rajiv Gandhi University,Itanagar,Arunachal Pradesh,Government,1984,,B+,89,1279,0.2,19904,129401,True,38.4,2.61,17.89,469,1356.5,False,True,True,True,True,True,18.4,CUET,250
Telangana State Applied Sciences College Nizamabad,Nizamabad,Telangana,Government,1885,487,B++,160,1006,6.5,24852,123266,True,32.4,5.36,23.68,684,452.6,True,True,True,True,False,True,60.5,MHT CET,6490
Baramulla Government Computer Science College,Baramulla,Jammu & Kashmir,Government,1980,395,A,201,737,5.7,41607,118489,True,33.1,2.79,19.51,543,1217.2,True,False,False,False,False,True,1.2,NATA,4207
Government Management College Gangtok,Gangtok,Sikkim,Government,1943,178,B+,163,1179,4.5,7097,139176,True,47.2,2.3,15.36,28,1078.3,True,True,False,True,True,True,77.1,State Level,5349
Government Polytechnic Coimbatore,Coimbatore,Tamil Nadu,Government,1993,224,B,187,,,40275,66637,True,43.9,4.78,14.31,622,2286.9,True,True,True,True,True,True,56.7,KCET,6259
Modern Institute of Applied Sciences New Delhi,New Delhi,Delhi,Private,1857,26,B+,170,1434,1.6,1540099,29388,True,97.4,20.55,119.33,318,,False,False,False,True,True,False,62.4,TS EAMCET,2249
Government Model College Hisar,Hisar,Haryana,Government,1856,235,A+,156,,,42339,119723,True,66.1,9.39,28.11,137,233.9,True,True,True,False,True,True,15.7,BITSAT,7166
Itanagar Government Fashion Design College,Itanagar,Arunachal Pradesh,Government,1966,8,,166,1109,1.2,155657,134259,True,87.5,20.84,135.14,195,1195.0,True,True,True,True,True,True,23.3,CUET,1336
Thrissur College of Computer Science,Thrissur,Kerala,Private,1930,16,A,8,905,6.8,1474148,25986,False,82.6,15.01,62.45,404,1101.2,True,True,True,True,True,True,61.3,TNEA,6177
Mangalore Ayurveda Autonomous College,Mangalore,Karnataka,Autonomous,1953,283,B+,71,450,0.7,39483,177868,False,21.2,2.73,7.13,523,2238.5,True,True,False,False,True,False,79.5,COMEDK,330
Haridwar Autonomous College of Journalism,Haridwar,Uttarakhand,Autonomous,1953,113,,121,401,8.8,76190,92335,True,60.3,5.31,33.76,154,848.9,True,True,True,True,True,True,65.0,UPSEE,3547
Sardar University Shimla,Shimla,Himachal Pradesh,Private,2016,,A,16,702,9.5,347129,24154,False,56.4,2.96,15.5,154,2118.8,True,False,True,True,True,True,15.9,State Level,6696
Rani University Indore,Indore,Madhya Pradesh,Private,1876,248,B++,229,113,65.9,532419,157116,True,60.1,,,36,1819.7,True,True,True,True,True,True,27.5,JEE Advanced,7452
Autonomous College of Agriculture New Delhi,New Delhi,Delhi,Autonomous,1967,60,A,71,648,6.2,146566,49328,True,,5.51,30.73,629,1974.2,True,True,True,True,True,True,67.4,KCET,3991
