name,city,state,type,established_year,nirf_ranking,naac_grade,courses_offered,faculty_count,student_faculty_ratio,avg_annual_fee,hostel_fee,scholarship_available,placement_rate,avg_package_lpa,highest_package_lpa,companies_visiting,campus_area_acres,has_library,has_hostel,has_sports,has_wifi,has_lab,has_hospital,acceptance_rate,entrance_exams_accepted,total_intake,institution_age,fee_category,region,infrastructure_score,naac_numeric
Mizoram University,Aizawl,Mizoram,Government,2001,196.0,A,192,1419.0,0.2,42022.0,59211,True,41.4,4.79,13.25,412,2427.7,False,False,True,True,False,False,64.2,CUET,300,25,Low (<1L),Northeast,2,4
Prime College of Arts Bareilly,Bareilly,Uttar Pradesh,Private,1929,210.0,B++,135,752.0,2.1,340054.0,71079,False,64.4,6.96,21.92,67,1734.8,True,False,True,False,False,True,80.7,JEE Advanced,1558,97,Medium (1-5L),North,3,3
Tilak Academy of Medical Sciences Karimnagar,Karimnagar,Telangana,Deemed,1933,387.0,B+,110,698.0,10.1,192476.0,87468,True,48.3,3.26,17.63,471,146.3,True,True,True,True,False,False,40.8,Own Entrance,7053,93,Medium (1-5L),South,4,2
Global Academy of Architecture Mohali,Mohali,Punjab,Private,1922,126.0,A+,96,966.0,7.2,471333.0,115286,True,57.6,9.96,35.67,191,889.9,True,False,True,True,True,True,61.4,UPSEE,6953,104,Medium (1-5L),North,5,5
Tilak Foundation Medical Sciences College Dibrugarh,Dibrugarh,Assam,Private,2008,,A++,91,1200.0,2.6,2060423.0,133014,False,90.7,26.99,82.99,257,2316.1,True,True,True,True,True,True,62.4,COMEDK,3175,18,High (>5L),Northeast,6,6
Dhanbad Government Commerce College,Dhanbad,Jharkhand,Government,1976,148.0,A,83,109.0,36.8,52391.0,91689,True,78.0,7.65,37.76,447,707.2,False,True,True,True,True,False,5.4,VITEEE,4012,50,Low (<1L),East,4,4
Mapusa Government Architecture College,Mapusa,Goa,Government,1904,84.0,A,99,1466.0,3.4,46446.0,36573,True,67.8,8.07,32.5,576,414.2,False,False,False,False,False,True,21.5,JEE Advanced,4918,122,Low (<1L),West,1,4
Deemed Institute of Ayurveda Margao,Margao,Goa,Deemed,1869,244.0,B,120,716.0,8.1,493260.0,78459,True,77.6,9.15,36.16,382,2112.9,False,True,True,True,True,True,64.8,CLAT,5830,157,Medium (1-5L),West,5,1
District Veterinary Science College Ajmer,Ajmer,Rajasthan,Government,2023,,B,28,475.0,2.2,26701.0,152102,True,31.9,2.71,7.87,341,1577.9,True,True,True,True,True,True,55.3,CUET,1027,3,Low (<1L),North,6,1
Kalam Deemed University Shillong,Shillong,Meghalaya,Deemed,1877,,A,44,1286.0,0.5,231292.0,152603,True,72.2,4.81,15.05,111,1683.2,False,True,True,False,False,True,72.3,JEE Main,669,149,Medium (1-5L),Northeast,3,4
Gandhinagar College of Architecture,Gandhinagar,Gujarat,Private,1902,,A,114,1340.0,3.4,349733.0,20431,False,45.8,2.25,13.92,32,2119.5,True,False,False,True,False,False,80.2,SRMJEEE,4526,124,Medium (1-5L),West,2,4
Hindustan Institute of Technology,Chennai,Tamil Nadu,Deemed,1985,,A,61,773.5,5.2,208594.0,170123,False,41.5,2.29,12.68,198,1302.5,False,True,True,False,True,True,67.0,HITSEEE,1800,41,Medium (1-5L),South,4,4
Thrissur Government Agriculture College,Thrissur,Kerala,Government,2003,118.0,B++,32,462.0,6.4,61850.0,177457,True,65.3,10.13,53.69,25,542.8,True,False,True,True,False,True,23.3,JEE Main,2970,23,Low (<1L),South,4,3
Deemed Institute of Dental Sciences Kota,Kota,Rajasthan,Deemed,1885,497.0,B+,227,628.0,4.2,293411.0,38223,True,42.0,5.57,21.98,204,1077.8,True,True,True,True,True,True,18.4,State Level,2623,141,Medium (1-5L),North,6,2
Sri Usha Institute of Arts Patna,Patna,Bihar,Private,1964,,A,215,1352.0,5.9,378159.0,66303,True,34.2,5.04,34.75,231,882.7,True,True,True,True,True,True,40.3,MHT CET,7929,62,Medium (1-5L),East,6,4
District Physical Education College Noida,Noida,Uttar Pradesh,Government,2013,235.0,A++,204,628.0,10.1,21710.0,150190,True,71.9,7.13,37.83,128,2138.4,True,True,True,False,True,False,78.8,KCET,6358,13,Low (<1L),North,4,6
Prime College of Ayurveda Bikaner,Bikaner,Rajasthan,Private,1998,,A++,17,769.0,1.6,342079.0,113686,True,59.4,6.18,25.32,306,730.6,False,True,True,False,False,True,54.7,JEE Advanced,1257,28,Medium (1-5L),North,3,6
Margao Government Information Technology College,Margao,Goa,Government,1935,11.0,A+,230,1450.0,3.6,112867.0,91005,False,88.6,25.93,122.1,603,816.9,False,False,True,True,False,True,50.6,JEE Advanced,5245,91,Medium (1-5L),West,3,5
Assam University,Silchar,Assam,Government,1994,,B++,83,1124.0,0.4,35014.0,166980,True,62.4,2.09,6.77,351,1225.9,True,True,True,True,True,True,63.5,CUET,400,32,Low (<1L),Northeast,6,3
Dayanand University Tirunelveli,Tirunelveli,Tamil Nadu,Private,1913,421.0,A,17,388.0,20.5,276414.0,95304,True,28.4,5.48,25.145,563,1631.1,True,True,True,True,True,True,72.2,MHT CET,7971,113,Medium (1-5L),South,6,4
Delhi Institute of Engineering,Delhi,Delhi,Private,1887,71.0,B++,9,788.0,8.9,370850.0,166407,True,79.5,11.63,72.54,512,2296.2,False,True,True,False,True,True,60.0,Own Entrance,7028,139,Medium (1-5L),North,4,3
Modern Institute of Science Darbhanga,Darbhanga,Bihar,Private,1944,351.0,B+,189,1010.0,5.4,357713.0,137996,True,49.8,3.4,13.13,453,963.4,False,False,True,False,False,False,73.4,BITSAT,5408,82,Medium (1-5L),East,1,2
Modern Institute of Education Bhilai,Bhilai,Chhattisgarh,Private,1997,,A++,145,159.0,31.1,486615.0,126016,True,66.7,5.19,11.77,151,669.0,False,True,False,False,False,False,55.1,Own Entrance,4952,29,Medium (1-5L),Central,1,6
State Institute of Education Tirunelveli,Tirunelveli,Tamil Nadu,Government,1889,,B++,83,791.5,4.1,142944.0,37624,True,88.0,14.03,55.32,506,770.2,True,True,True,True,True,False,73.9,NEET UG,2135,137,Medium (1-5L),South,5,3
State Institute of Fine Arts Chandigarh,Chandigarh,Punjab,Government,1979,118.0,A+,88,1103.0,5.9,48597.0,84409,True,82.0,8.07,32.5,649,,False,False,False,False,False,False,23.4,NATA,6546,47,Low (<1L),North,0,5
Government Model College Kullu,Kullu,Himachal Pradesh,Government,2012,,A,57,1321.0,2.4,78068.0,43098,True,89.7,12.16,54.67,326,1230.6,True,True,True,False,True,True,13.5,KCET,3196,14,Low (<1L),North,5,4
Rajiv Gandhi National University of Law,Patiala,Punjab,Government,2006,375.0,A,215,1152.0,0.1,42070.0,149843,False,49.2,2.45,6.3,385,1356.0,True,True,True,True,True,True,64.6,CLAT,80,20,Low (<1L),North,6,4
Prime College of Science Anand,Anand,Gujarat,Private,1992,79.0,A++,176,1271.0,2.4,1964232.0,59213,True,90.6,11.73,65.66,68,2451.8,True,True,True,False,False,True,74.5,VITEEE,3055,34,High (>5L),West,4,6
Modern Institute of Social Work Korba,Korba,Chhattisgarh,Private,2020,,B,49,244.0,32.0,269069.0,105925,True,49.8,3.25,14.52,270,1176.7,False,False,True,False,False,False,24.1,SRMJEEE,7818,6,Medium (1-5L),Central,1,1
Imphal Institute of Social Work,Imphal,Manipur,Private,1954,,A,238,573.0,8.1,474312.0,103261,True,66.1,10.47,43.2,65,672.3,False,False,True,False,True,True,62.2,JEE Advanced,4666,72,Medium (1-5L),Other,3,4
University of Calcutta,Kolkata,West Bengal,Government,1857,158.0,A,212,105.0,38.1,15166.0,92259,True,36.6,5.5,32.05,686,1049.3,True,True,False,False,True,True,65.3,CUET,4000,169,Low (<1L),East,4,4
Babasaheb Institute of Law Kalyani,Kalyani,West Bengal,Private,1916,438.0,B++,128,1247.0,3.7,253520.0,148075,True,60.7,2.47,11.22,175,1629.9,True,False,True,True,False,True,29.0,NATA,4628,110,Medium (1-5L),East,4,3
Acharya Institute of Homeopathy Thanjavur,Thanjavur,Tamil Nadu,Private,1917,,B+,48,149.0,32.4,354173.0,114429,True,42.5,5.48,32.39,317,1908.5,False,False,True,True,True,True,21.5,University Entrance,4833,109,Medium (1-5L),South,4,2
Autonomous College of Hotel Management Mapusa,Mapusa,Goa,Autonomous,1874,476.0,B+,190,1169.0,3.7,130417.0,50538,True,37.8,3.31,15.78,358,301.1,True,True,False,True,True,False,69.1,Own Entrance,4324,152,Medium (1-5L),West,4,2
Government Model College Gwalior,Gwalior,M.P.,Government,1903,385.0,A,66,699.0,10.2,23946.0,87915,True,31.4,5.47,36.14,177,2039.1,False,True,True,True,True,True,79.5,UPSEE,7110,123,Low (<1L),Other,5,4
Government Model College Dibrugarh,Dibrugarh,Assam,Government,1855,56.0,B,25,877.0,6.4,70137.0,112568,True,72.3,7.25,19.23,677,1165.1,True,True,True,True,True,True,69.7,GATE,5584,171,Low (<1L),Northeast,6,1
Nehru University Purnia,Purnia,Bihar,Private,1963,89.0,B++,118,779.0,4.8,1636291.0,109554,True,87.9,29.73,131.94,119,800.8,True,True,True,True,True,False,35.4,KCET,4780,63,High (>5L),East,5,3
Madhya Pradesh State Pharmacy College Jabalpur,Jabalpur,Madhya Pradesh,Government,1917,22.0,B+,240,449.0,2.2,71861.0,101889,True,90.7,14.08,71.67,223,818.5,True,False,False,False,False,True,1.6,JEE Main,1006,109,Low (<1L),Central,2,2
Hamirpur Institute of Applied Sciences,Hamirpur,Himachal Pradesh,Private,1937,363.0,B++,8,1045.0,3.8,137224.0,167306,True,33.1,3.82,22.18,236,1580.7,True,False,False,True,True,True,63.9,State Level,3978,89,Medium (1-5L),North,4,3
State Institute of Ayurveda Ghaziabad,Ghaziabad,Uttar Pradesh,Government,1886,120.0,A,94,970.0,2.4,70856.0,23609,False,75.9,12.63,29.38,320,1611.3,True,True,True,True,True,True,38.7,KCET,2348,140,Low (<1L),North,6,4
Autonomous College of Physical Education Itanagar,Itanagar,Arunachal Pradesh,Autonomous,1863,267.0,A,146,403.0,2.1,48101.0,64072,True,41.7,3.33,6.68,228,1538.4,True,True,True,True,False,False,46.1,University Entrance,846,163,Low (<1L),Northeast,4,4
West Bengal National University of Juridical Sciences,Kolkata,West Bengal,Government,1999,100.0,A+,52,417.0,0.2,88380.0,131770,True,87.0,7.32,29.46,665,1644.0,True,False,False,True,True,True,34.2,CLAT,100,27,Low (<1L),East,4,5
District Engineering College Tirunelveli,Tirunelveli,Tamil Nadu,Government,1916,239.0,B+,197,1416.0,3.2,53621.0,158848,True,77.6,11.95,47.59,581,365.3,True,False,False,True,True,True,59.5,VITEEE,4570,110,Low (<1L),South,4,2
Meera Autonomous Institute Shillong,Shillong,Meghalaya,Autonomous,1943,,B++,222,995.0,3.0,281200.0,44944,True,83.8,7.1,39.19,395,2339.2,False,False,True,True,True,True,8.7,WBJEE,2959,83,Medium (1-5L),Northeast,4,3
Academy of Homeopathy Phagwara,Phagwara,Punjab,Deemed,2010,81.0,B++,92,347.0,15.3,596318.0,174573,True,78.9,9.73,55.03,658,35.0,False,False,True,True,False,False,55.1,NATA,5323,16,High (>5L),North,2,3
Kohima College of Law,Kohima,Nagaland,Private,1983,93.0,A++,118,1163.0,2.4,559443.0,105539,True,68.1,9.33,43.39,478,761.6,True,False,True,True,True,False,12.1,State Level,2811,43,High (>5L),Northeast,4,6
Vivekananda University Kollam,Kollam,Kerala,Private,1922,,B+,114,340.0,17.8,347734.0,177406,True,79.4,7.71,24.0,585,472.0,False,False,False,False,True,True,67.5,MHT CET,6066,104,Medium (1-5L),South,2,2
Deemed Institute of Agriculture Kharagpur,Kharagpur,West Bengal,Deemed,1912,68.0,B,183,93.0,73.6,179289.0,56123,True,53.3,8.02,21.78,444,930.5,True,True,True,False,False,True,59.9,GATE,6841,114,Medium (1-5L),East,4,1
Deemed Institute of Management Junagadh,Junagadh,Gujarat,Deemed,1868,,B+,44,494.0,1.1,374064.0,149254,True,59.2,9.69,38.16,546,2231.4,True,True,False,False,True,False,23.4,University Entrance,529,158,Medium (1-5L),West,3,2
Government Model College Baramulla,Baramulla,Jammu & Kashmir,Government,1967,,A+,72,961.0,5.7,50231.0,34326,True,75.5,7.68,23.9,274,1546.4,True,True,False,True,True,True,49.8,TNEA,5478,59,Low (<1L),North,5,5
Srinivasa Autonomous Institute Indore,Indore,Madhya Pradesh,Autonomous,1960,,A,106,357.0,13.1,37179.0,126907,True,38.7,1.87,8.96,665,296.1,False,True,True,True,True,True,65.2,AP EAMCET,4679,66,Low (<1L),Central,5,4
Nizamabad Applied Sciences Autonomous College,Nizamabad,Telangana,Autonomous,2007,,A,56,1270.0,2.5,114499.0,144394,True,48.6,8.57,46.66,336,297.5,True,False,False,False,False,False,40.0,State Level,3196,19,Medium (1-5L),South,1,4
Jai Prakash Autonomous Institute Ajmer,Ajmer,Rajasthan,Autonomous,1922,340.0,B++,118,1276.0,3.0,59265.0,27544,True,48.8,2.51,14.67,542,1901.1,False,False,False,True,False,False,50.1,JEE Main,3878,104,Low (<1L),North,1,3
Modern Institute of Arts Vasco da Gama,Vasco da Gama,Goa,Private,2022,59.0,B++,116,971.0,1.3,1206982.0,174705,True,60.7,20.3,102.97,59,1163.0,True,False,False,True,False,True,4.3,NEET UG,1291,4,High (>5L),West,3,3
Chandra University Mohali,Mohali,Punjab,Private,1987,218.0,B++,181,679.0,9.8,615055.0,164061,True,66.9,11.44,44.68,102,819.7,False,True,False,False,False,True,50.4,Own Entrance,6652,39,High (>5L),North,2,3
Tilak University Indore,Indore,Madhya Pradesh,Private,2009,,A,43,344.0,16.2,1652393.0,140897,False,84.9,18.4,43.17,629,2157.3,True,True,False,True,True,True,43.9,AP EAMCET,5574,17,High (>5L),Central,5,4
University of Allahabad,Prayagraj,Uttar Pradesh,Government,1887,,A+,176,943.0,2.1,42504.0,104116,True,69.6,7.87,36.69,130,683.1,True,True,True,False,True,True,14.2,CUET,2000,139,Low (<1L),North,5,5
University of Mumbai,Mumbai,Maharashtra,Government,1857,155.0,A++,65,696.0,7.2,45692.0,171023,True,72.3,10.98,58.88,319,2190.9,True,False,True,True,False,True,83.8,Own Entrance,5000,169,Low (<1L),West,4,6
District Fine Arts College Jaipur,Jaipur,Rajasthan,Government,2013,,B,100,752.0,4.1,25202.0,37008,True,43.0,4.36,25.69,301,1064.1,True,True,True,True,False,True,15.5,BITSAT,3079,13,Low (<1L),North,5,1
Aryabhatta College of Education and Research Dimapur,Dimapur,Nagaland,Private,1882,90.0,B,10,500.0,11.0,797977.0,95753,True,63.3,9.59,66.49,12,982.8,True,True,True,False,True,False,39.5,GATE,5484,144,High (>5L),Northeast,4,1
Jammu University,Jammu,Jammu & Kashmir,Government,1969,177.0,A+,66,1254.0,0.8,26123.0,134814,True,81.9,6.4,18.98,510,973.1,True,False,True,False,True,True,67.6,CUET,1000,57,Low (<1L),North,4,5
Academy of Fine Arts Bhilai,Bhilai,Chhattisgarh,Deemed,1899,66.0,A,91,1030.0,1.7,594097.0,54013,True,51.9,8.2,30.09,87,1126.3,True,True,True,True,False,False,20.7,NEET UG,1797,127,High (>5L),Central,4,4
State Institute of Physical Education Ranchi,Ranchi,Jharkhand,Government,1982,,B,150,332.0,4.3,22039.0,146290,True,83.9,5.8,28.66,563,1299.7,True,False,False,True,True,False,69.6,Own Entrance,1432,44,Low (<1L),East,3,1
Jawaharlal Deemed University New Delhi,New Delhi,Delhi,Deemed,1953,166.0,B++,240,1247.0,4.6,158699.0,109959,True,36.6,2.83,11.72,499,1588.8,True,True,False,True,True,False,50.8,JEE Main,5776,73,Medium (1-5L),North,4,3
Kollam Autonomous College of Engineering,Kollam,Kerala,Autonomous,1938,165.0,A+,82,240.0,2.0,239396.0,151775,True,48.1,5.97,31.54,405,871.2,True,False,False,False,False,False,70.4,CAT,482,88,Medium (1-5L),South,1,5
Prime College of Science Bathinda,Bathinda,Punjab,Private,1871,163.0,A,97,794.0,4.6,291148.0,108079,True,43.4,2.55,7.91,142,1727.6,True,True,True,True,True,True,28.1,VITEEE,3629,155,Medium (1-5L),North,6,4
Government College of Homeopathy Delhi,Delhi,Delhi,Government,1973,,B++,185,791.5,4.1,37094.0,80679,True,30.5,4.48,23.09,320,,True,False,True,True,False,False,67.2,VITEEE,5616,53,Low (<1L),North,3,3
Acharya Academy of Fashion Design Hisar,Hisar,Haryana,Deemed,1896,2.0,A+,91,921.0,8.0,366458.0,139531,True,82.0,9.58,33.53,471,1478.6,True,False,True,True,False,False,60.3,GATE,7402,130,Medium (1-5L),North,3,5
Government Polytechnic Bellary,Bellary,Karnataka,Government,1863,,B+,205,206.0,31.9,31575.0,153239,True,87.3,13.86,42.22,491,1977.9,False,True,True,False,False,True,52.7,State Level,6577,163,Low (<1L),South,3,2
Agartala Government Engineering College,Agartala,Tripura,Government,1950,159.0,A+,30,455.0,15.1,57431.0,131451,False,76.8,5.23,17.63,280,2423.2,False,False,False,True,True,False,49.4,GATE,6871,76,Low (<1L),Northeast,2,5
District Education College New Delhi,New Delhi,Delhi,Government,1851,54.0,A,154,279.0,8.7,46446.0,83984,True,91.3,14.32,49.02,393,1322.8,False,False,False,False,True,False,61.3,Own Entrance,2424,175,Low (<1L),North,1,4
Narayana Autonomous Institute Shillong,Shillong,Meghalaya,Autonomous,1984,,B,84,225.0,34.9,128546.0,56581,True,23.9,2.87,19.51,154,2004.1,False,False,True,False,True,False,39.5,GATE,7854,42,Medium (1-5L),Northeast,2,1
Government Commerce College Imphal,Imphal,Manipur,Government,1901,397.0,A,149,114.0,18.0,33180.0,125783,False,71.9,4.27,18.23,545,1187.5,False,True,True,False,False,True,7.2,UPSEE,2055,125,Low (<1L),Other,3,4
Lakshmi Deemed University Shillong,Shillong,Meghalaya,Deemed,1873,,A,98,678.0,3.2,529227.0,88968,True,53.2,5.4,32.56,322,2415.5,True,True,True,True,True,True,37.9,NEET UG,2174,153,High (>5L),Northeast,6,4
Subhas Autonomous Institute Guntur,Guntur,A.P.,Autonomous,1907,491.0,B++,73,1462.0,2.7,131173.0,168839,True,32.4,4.26,27.36,542,2408.2,True,False,False,False,False,False,17.5,TNEA,3990,119,Medium (1-5L),Other,1,3
Srinivasa Autonomous Institute Vijayawada,Vijayawada,Andhra Pradesh,Autonomous,1896,,A,130,561.0,13.7,64282.0,123689,True,51.15,1.82,5.73,123,550.9,True,True,True,False,False,True,41.1,BITSAT,7712,130,Low (<1L),South,4,4
Laxmi Deemed University Nanded,Nanded,Maharashtra,Deemed,1973,84.0,B++,92,333.0,2.9,490516.0,153217,False,62.7,7.51,38.17,61,2443.9,True,True,False,True,True,True,56.7,MHT CET,976,53,Medium (1-5L),West,5,3
Mapusa College of Commerce,Mapusa,Goa,Private,1863,57.0,B,162,1149.0,1.1,513374.0,122858,True,77.9,8.2,30.66,39,1505.5,True,False,True,True,True,False,32.9,State Level,1236,163,High (>5L),West,4,1
Aryabhata Autonomous Institute Vasco da Gama,Vasco da Gama,Goa,Autonomous,1919,,B+,63,1137.0,6.7,63530.0,164002,True,32.0,2.25,10.5,596,4.0,False,True,False,True,False,False,40.4,KCET,7640,107,Low (<1L),West,2,2
Sri Aurobindo Institute of Hotel Management Haridwar,Haridwar,Uttarakhand,Private,1948,80.0,A+,189,785.0,6.7,2284506.0,75485,True,90.5,12.97,26.72,530,1864.2,False,False,True,False,False,True,84.7,MHT CET,5276,78,High (>5L),North,2,5
Sri Aryabhatta Institute of Medical Sciences Dimapur,Dimapur,Nagaland,Private,1958,387.0,B+,217,1166.0,6.2,280245.0,83891,True,37.0,4.46,21.31,602,2068.5,False,True,True,True,False,True,30.8,TS EAMCET,7197,68,Medium (1-5L),Northeast,4,2
Government Model College Nellore,Nellore,Andhra Pradesh,Government,1930,98.0,A,20,972.0,2.8,271208.0,99346,True,93.0,15.2,39.36,278,1620.5,False,False,False,False,False,False,48.1,State Level,2703,96,Medium (1-5L),South,0,4
Prime College of Technology Kohima,Kohima,Nagaland,Private,1852,212.0,A,185,1226.0,3.5,378116.0,77265,True,70.8,12.0,77.91,572,292.2,True,False,True,True,True,True,84.2,JEE Main,4301,174,Medium (1-5L),Northeast,5,4
Sri Usha Institute of Information Technology Dehradun,Dehradun,Uttarakhand,Private,1922,298.0,A,225,1071.0,4.3,212659.0,111133,True,57.6,2.98,18.13,686,844.6,False,False,False,False,True,False,38.2,CAT,4630,104,Medium (1-5L),North,1,4
Government Engineering College Aizawl,Aizawl,Mizoram,Government,1864,124.0,A+,46,1279.0,0.7,64262.0,116868,True,67.3,13.05,90.88,36,1351.7,True,True,True,True,True,True,28.6,UPSEE,916,162,Low (<1L),Northeast,6,5
Jorhat Institute of Fine Arts,Jorhat,Assam,Private,2008,259.0,B+,46,779.0,4.8,378116.0,146637,True,42.5,5.48,25.145,232,1927.7,True,False,False,True,True,True,46.2,UPSEE,6928,18,Medium (1-5L),Northeast,4,2
Government Model College Kalyani,Kalyani,West Bengal,Government,1941,,B+,74,147.0,30.2,8548.0,174077,True,63.5,3.07,21.45,165,382.5,False,True,True,True,False,True,55.4,TNEA,4437,85,Low (<1L),East,4,2
Chanakya Autonomous Institute Shillong,Shillong,Meghalaya,Autonomous,2022,64.0,A+,139,1490.0,2.7,67694.0,161808,True,51.15,6.63,28.55,666,2118.6,True,True,True,True,False,False,14.9,State Level,4095,4,Low (<1L),Northeast,4,5
Raman Foundation Fine Arts College Jodhpur,Jodhpur,Rajasthan,Private,1943,500.0,A,121,421.0,11.9,174327.0,123659,False,36.4,3.36,8.65,448,1247.3,False,False,False,False,False,False,20.9,TS EAMCET,5020,83,Medium (1-5L),North,0,4
Ahmedabad Government Information Technology College,Ahmedabad,Gujarat,Government,1977,77.0,A,116,926.0,1.5,87001.0,92789,True,70.2,9.87,55.46,173,1219.4,False,False,False,False,False,True,56.9,AP EAMCET,1356,49,Low (<1L),West,1,4
District Computer Science College Korba,Korba,Chhattisgarh,Government,1998,149.0,B++,11,793.0,9.4,61327.0,149666,True,72.8,8.43,40.89,360,811.9,False,True,False,False,False,True,55.5,University Entrance,7416,28,Low (<1L),Central,2,3
Institute of Chemical Technology Mumbai,Mumbai,Maharashtra,Deemed,1933,78.0,A++,181,829.0,0.6,245876.0,49840,False,61.2,9.76,32.79,499,2000.1,True,True,True,False,False,False,55.5,MHT CET,500,93,Medium (1-5L),West,3,6
Indian Institute of Technology Goa,Goa,Goa,Government,2016,,A,195,365.0,0.7,34004.0,152324,True,44.9,5.63,23.81,496,1126.3,False,True,True,True,True,True,64.1,JEE Advanced,240,10,Low (<1L),West,5,4
Sapru College of Homeopathy and Research Karaikal,Karaikal,Puducherry,Private,1962,91.0,B+,248,1002.0,0.9,1009896.0,62052,True,85.9,19.59,109.83,57,1953.5,True,True,True,True,True,True,33.8,MHT CET,935,64,High (>5L),South,6,2
Deemed Institute of Management Imphal,Imphal,Manipur,Deemed,1986,,A,160,1264.0,5.7,123261.0,145959,True,39.0,3.67,21.55,638,1874.3,False,False,False,False,False,True,37.5,CAT,7255,40,Medium (1-5L),Other,1,4
Koneru Lakshmaiah Education Foundation,Guntur,Andhra Pradesh,Deemed,1980,89.0,A++,217,1141.0,1.8,480046.0,75882,True,74.2,6.26,15.77,455,1617.1,False,False,False,False,False,False,79.9,KLEEE,2000,46,Medium (1-5L),South,0,6
Global Academy of Fashion Design Meerut,Meerut,Uttar Pradesh,Private,1994,168.0,B++,85,45.0,52.7,760248.0,42660,True,79.7,4.08,12.56,620,1581.5,True,True,False,True,True,True,69.4,JEE Advanced,2373,32,High (>5L),North,5,3
Gandhi Foundation Technology College Dibrugarh,Dibrugarh,Assam,Private,2010,217.0,B++,217,703.0,4.7,417008.0,154993,False,78.3,4.94,14.68,314,2364.8,True,False,True,False,True,False,80.6,VITEEE,3324,16,Medium (1-5L),Northeast,3,3
State Institute of Physical Education Namchi,Namchi,Sikkim,Government,2001,204.0,B,225,99.0,72.7,64259.0,138341,True,82.5,14.55,86.1,268,455.1,False,True,False,True,True,True,4.3,COMEDK,7193,25,Low (<1L),Northeast,4,1
Central University of Rajasthan,Ajmer,Rajasthan,Government,2009,343.0,A,106,935.0,0.6,20152.0,21892,True,49.2,2.75,17.63,265,409.8,False,True,False,True,True,False,62.9,CUET,600,17,Low (<1L),North,3,4
Aizawl Autonomous College of Veterinary Science,Aizawl,Mizoram,Autonomous,1971,,B++,225,1055.0,2.5,233967.0,54323,True,66.4,7.63,39.6,19,2223.0,False,False,True,False,True,False,22.1,KCET,2674,55,Medium (1-5L),Northeast,2,3
State Institute of Social Work Alappuzha,Alappuzha,Kerala,Government,1994,,B+,73,695.0,1.9,28624.0,100102,False,39.3,5.7,12.21,657,965.9,True,False,True,False,False,False,58.6,NATA,1304,32,Low (<1L),South,2,2
Raman University Pantnagar,Pantnagar,Uttarakhand,Private,1881,254.0,A,102,1263.0,5.3,142792.0,92709,True,55.4,3.24,16.05,323,882.6,False,True,False,False,False,True,39.8,JEE Main,6656,145,Medium (1-5L),North,2,4
Bhabha Institute of Engineering Vellore,Vellore,Tamil Nadu,Private,1852,200.0,B++,79,586.0,13.6,591623.0,29468,True,60.7,8.25,53.19,104,318.5,False,True,True,True,True,True,17.0,WBJEE,7957,174,High (>5L),South,5,3
Galgotias Foundation Social Work College Nashik,Nashik,Maharashtra,Private,1955,361.0,B++,242,676.0,11.0,289055.0,172698,True,31.0,4.09,20.39,538,286.7,False,True,True,True,False,True,54.0,SRMJEEE,7405,71,Medium (1-5L),West,4,3
Autonomous College of Medical Sciences Delhi,Delhi,Delhi,Autonomous,1922,174.0,B++,63,1168.0,4.2,111403.0,102062,False,65.2,7.9,43.91,176,1057.6,True,True,True,True,True,True,77.4,TNEA,4852,104,Medium (1-5L),North,6,3
Srinivasa University Nagaon,Nagaon,Assam,Private,1999,282.0,A,210,401.0,14.2,344396.0,82930,False,43.1,3.09,19.67,297,153.6,True,False,False,True,False,True,52.7,Own Entrance,5705,27,Medium (1-5L),Northeast,3,4
Prime College of Nursing Delhi,Delhi,Delhi,Private,1918,,B++,32,525.0,1.0,281082.0,79982,True,30.2,3.9,24.84,672,2490.3,False,False,False,True,True,False,84.9,GATE,524,108,Medium (1-5L),North,2,3
Nehru Institute of Nursing Junagadh,Junagadh,Gujarat,Private,1925,18.0,A++,166,1161.0,5.0,1694264.0,179249,True,96.5,23.75,72.52,113,1218.7,True,False,True,False,False,False,61.4,CLAT,5764,101,High (>5L),West,2,6
Sri Bose Institute of Information Technology Aizawl,Aizawl,Mizoram,Private,1945,,A+,216,645.0,5.1,772621.0,160404,False,62.2,10.42,42.92,320,2106.7,False,True,True,True,False,True,58.8,State Level,3267,81,High (>5L),Northeast,4,5
Government Polytechnic Bangalore,Bangalore,Karnataka,Government,1934,141.0,B+,130,1071.0,0.1,18786.0,53826,True,78.7,11.83,58.05,667,458.2,True,False,True,False,False,False,15.3,AP EAMCET,71,92,Low (<1L),South,2,2
Babasaheb Academy of Dental Sciences Udaipur,Udaipur,Rajasthan,Deemed,1866,81.0,A,144,207.0,36.2,176151.0,118859,False,70.8,7.96,38.96,472,427.5,True,True,True,False,True,False,44.1,JEE Advanced,7497,160,Medium (1-5L),North,4,4
Dibrugarh University,Dibrugarh,Assam,Government,1965,361.0,B++,42,212.0,3.8,20479.0,147118,True,36.3,4.11,8.9,619,2335.0,True,False,True,False,True,False,13.9,Own Entrance,800,61,Low (<1L),Northeast,3,3
Shivaji Autonomous Institute Kolhapur,Kolhapur,Maharashtra,Autonomous,2012,405.0,B+,249,435.0,15.5,122305.0,116543,True,34.4,2.89,11.93,675,324.4,True,False,True,True,True,True,68.6,WBJEE,6722,14,Medium (1-5L),West,5,2
